DATE,CPALTT01USQ657N_NBD19600401
1960-01-01,-19.97732
1960-04-01,100.00000
1960-07-01,39.77427
1960-10-01,119.05405
1961-01-01,0.00000
1961-04-01,0.00000
1961-07-01,98.54586
1961-10-01,19.59956
1962-01-01,39.15556
1962-04-01,78.13747
1962-07-01,77.79249
1962-10-01,38.72527
1963-01-01,19.32018
1963-04-01,57.89704
1963-07-01,96.17904
1963-10-01,76.52552
1964-01-01,38.09730
1964-04-01,19.00755
1964-07-01,75.94828
1964-10-01,56.71674
1965-01-01,37.68984
1965-04-01,131.63287
1965-07-01,74.66102
1965-10-01,74.34599
1966-01-01,129.55882
1966-04-01,202.10636
1966-07-01,163.48454
1966-10-01,143.98366
1967-01-01,17.85208
1967-04-01,142.67206
1967-07-01,159.21687
1967-10-01,157.79104
1968-01-01,208.52071
1968-04-01,171.73489
1968-07-01,238.10811
1968-10-01,201.37143
1969-01-01,215.68738
1969-04-01,295.03256
1969-07-01,257.93230
1969-10-01,254.21100
1970-01-01,234.93333
1970-04-01,293.66667
1970-07-01,197.63589
1970-10-01,240.54608
1971-01-01,133.48485
1971-04-01,191.36174
1971-07-01,189.30579
1971-10-01,86.44317
1972-01-01,129.03173
1972-04-01,142.32633
1972-07-01,169.42308
1972-10-01,167.80952
1973-01-01,221.63522
1973-04-01,396.72360
1973-07-01,387.98785
1973-10-01,405.80981
1974-01-01,499.04139
1974-04-01,497.74011
1974-07-01,532.47253
1974-10-01,528.60000
1975-01-01,319.32686
1975-04-01,268.83662
1975-07-01,375.12837
1975-10-01,280.88289
1976-01-01,170.13881
1976-04-01,221.17155
1976-07-01,280.83825
1976-10-01,204.76467
1977-01-01,303.61861
1977-04-01,388.01807
1977-07-01,253.10497
1977-10-01,191.93900
1978-01-01,303.79310
1978-04-01,447.96610
1978-07-01,418.65702
1978-10-01,355.60040
1979-01-01,435.70722
1979-04-01,612.27799
1979-07-01,583.49813
1979-10-01,501.15576
1980-01-01,696.13696
1980-04-01,647.35642
1980-07-01,322.97352
1980-10-01,465.16800
1981-01-01,466.93687
1981-04-01,408.05619
1981-07-01,496.89054
1981-10-01,254.34861
1982-01-01,144.16933
1982-04-01,267.34651
1982-07-01,330.71950
1982-10-01,42.08120
1983-01-01,-11.99455
1983-04-01,222.05041
1983-07-01,207.43357
1983-10-01,158.15824
1984-01-01,197.39044
1984-04-01,189.46237
1984-07-01,193.12701
1984-10-01,129.22832
1985-01-01,111.55429
1985-04-01,216.16232
1985-07-01,125.93536
1985-10-01,157.66122
1986-01-01,37.71865
1986-04-01,-37.63808
1986-07-01,129.32110
1986-10-01,96.28415
1987-01-01,196.84179
1987-04-01,231.49597
1987-07-01,202.52874
1987-10-01,148.88695
1988-01-01,106.91130
1988-04-01,222.65365
1988-07-01,234.86670
1988-10-01,182.46292
1989-01-01,195.23546
1989-04-01,289.64384
1989-07-01,142.47978
1989-10-01,169.60428
1990-01-01,303.31038
1990-04-01,178.90653
1990-07-01,304.26289
1990-10-01,285.70560
1991-01-01,144.96634
1991-04-01,104.56973
1991-07-01,138.60374
1991-10-01,133.22439
1992-01-01,123.69402
1992-04-01,144.00962
1992-07-01,138.64092
1992-10-01,125.05323
1993-01-01,149.00634
1993-04-01,135.44375
1993-07-01,69.24179
1993-10-01,121.71310
1994-01-01,112.81957
1994-04-01,112.10180
1994-07-01,155.15466
1994-10-01,82.81558
1995-01-01,145.23056
1995-04-01,155.72249
1995-07-01,77.17915
1995-10-01,84.52682
1996-01-01,160.59896
1996-04-01,174.30538
1996-07-01,93.80324
1996-10-01,126.89684
1997-01-01,118.57834
1997-04-01,69.93524
1997-07-01,69.65876
1997-10-01,69.38446
1998-01-01,47.28737
1998-04-01,94.32160
1998-07-01,68.56031
1998-10-01,61.10567
1999-01-01,68.05855
1999-04-01,171.27582
1999-07-01,109.55074
1999-10-01,108.87383
2000-01-01,174.52456
2000-04-01,186.63790
2000-07-01,140.22127
2000-10-01,95.00481
2001-01-01,168.74162
2001-04-01,183.85506
2001-07-01,23.15809
2001-10-01,-49.55935
2002-01-01,62.95224
2002-04-01,191.48585
2002-07-01,75.11770
2002-10-01,55.28608
2003-01-01,178.30727
2003-04-01,64.18944
2003-07-01,86.34120
2003-10-01,3.18223
2004-01-01,159.08270
2004-04-01,252.25483
2004-07-01,62.17361
2004-10-01,105.32349
2005-01-01,110.85634
2005-04-01,235.62695
2005-07-01,214.39931
2005-10-01,89.50220
2006-01-01,94.98652
2006-04-01,298.19370
2006-07-01,98.71148
2006-10-01,-150.12944
2007-01-01,179.57782
2007-04-01,337.83339
2007-07-01,48.61864
2007-10-01,125.31600
2008-01-01,200.29952
2008-04-01,386.81973
2008-07-01,204.93035
2008-10-01,-498.38689
2009-01-01,-87.68295
2009-04-01,186.82527
2009-07-01,119.65248
2009-10-01,35.44943
2010-01-01,70.72933
2010-04-01,83.70771
2010-07-01,16.43074
2010-10-01,51.96426
2011-01-01,222.86170
2011-04-01,307.17138
2011-07-01,71.98087
2011-10-01,-26.79223
2012-01-01,140.19153
2012-04-01,145.81109
2012-07-01,38.64562
2012-10-01,6.35033
2013-01-01,104.01612
2013-04-01,95.32078
2013-07-01,66.59996
2013-10-01,-49.17172
2014-01-01,134.12741
2014-04-01,208.06891
2014-07-01,20.20588
2014-10-01,-141.55058
2015-01-01,-95.71166
2015-04-01,212.42595
2015-07-01,46.28375
2015-10-01,-79.26246
2016-01-01,11.38852
2016-04-01,206.56817
2016-07-01,58.61856
2016-10-01,39.21757
2017-01-01,139.32785
2017-04-01,95.76782
2017-07-01,69.88368
2017-10-01,65.30494
2018-01-01,156.13406
2018-04-01,182.02791
2018-07-01,57.66455
2018-10-01,-10.13057
2019-01-01,59.04745
2019-04-01,211.17803
2019-07-01,48.30805
2019-10-01,37.53377
2020-01-01,73.90311
2020-04-01,-95.15424
2020-07-01,199.36772
2020-10-01,40.51723
2021-01-01,189.08276
2021-04-01,412.27077
