RowID,Distillery,Body,Sweetness,Smoky,Medicinal,Tobacco,Honey,Spicy,Winey,Nutty,Malty,Fruity,Floral,Postcode,lat,long
1,Aberfeldy,2,2,2,0,0,2,1,2,2,2,2,2, PH15,-3.850199013,56.62519115
2,Aberlour,3,3,1,0,0,4,3,2,2,3,3,2, AB38,-3.229643877,57.46739473
3,AnCnoc,1,3,2,0,0,2,0,0,2,2,3,2, AB54,-2.785294605,57.44175084
4,Ardbeg,4,1,4,4,0,0,2,0,1,2,1,0, PA42,-6.108502892,55.64060693
5,Ardmore,2,2,2,0,0,1,1,1,2,3,1,1, AB54,-2.743628516,57.35055698
6,ArranIsleOf,2,3,1,1,0,1,1,1,0,1,1,2, KA27,-5.278894644,55.69914543
7,Auchentoshan,0,2,0,0,0,1,1,0,2,2,3,3, G81,-4.439338875,55.9223731
8,Auchroisk,2,3,1,0,0,2,1,2,2,2,2,1, AB55,-2.990864905,57.52387193
9,Aultmore,2,2,1,0,0,1,0,0,2,2,2,2, AB55,-2.990864905,57.52387193
10,Balblair,2,3,2,1,0,0,2,0,2,1,2,1, IV19,-4.177749187,57.842735
11,Balmenach,4,3,2,0,0,2,1,3,3,0,1,2, PH26,-3.533655781,57.32570941
12,Belvenie,3,2,1,0,0,3,2,1,0,2,2,2, AB55,-3.123496696,57.4528442
13,BenNevis,4,2,2,0,0,2,2,0,2,2,2,2, PH33,-5.073417961,56.83495219
14,Benriach,2,2,1,0,0,2,2,0,0,2,3,2, IV30,-3.282789232,57.60889277
15,Benrinnes,3,2,2,0,0,3,1,1,2,3,2,2, AB38,-3.237839217,57.4435084
16,Benromach,2,2,2,0,0,2,2,1,2,2,2,2, IV36,-3.619764409,57.61373702
17,Bladnoch,1,2,1,0,0,0,1,1,0,2,2,3, DG8,-4.458949266,54.8581926
18,BlairAthol,2,2,2,0,0,1,2,2,2,2,2,2, PH16,-3.718544079,56.69806338
19,Bowmore,2,2,3,1,0,2,2,1,1,1,1,2, PA43,-6.28380622,55.75602432
20,Bruichladdich,1,1,2,2,0,2,2,1,2,2,2,2, PA49,-6.359364476,55.7684733
21,Bunnahabhain,1,2,1,1,0,1,1,1,1,2,2,3, PA46,-6.123656815,55.88247491
22,Caol Ila,3,1,4,2,1,0,2,0,2,1,1,1, PA46,-6.10936872,55.85480396
23,Cardhu,1,3,1,0,0,1,1,0,2,2,2,2, AB38,-3.355645134,57.47077433
24,Clynelish,3,2,3,3,1,0,2,0,1,1,2,0, KW9,-3.859208477,58.01364743
25,Craigallechie,2,2,2,0,1,2,2,1,2,2,1,4, AB38,-3.187327845,57.4889112
26,Craigganmore,2,3,2,1,0,0,1,0,2,2,2,2, AB37,-3.389855519,57.41003141
27,Dailuaine,4,2,2,0,0,1,2,2,2,2,2,1, AB38,-3.276154891,57.45291827
28,Dalmore,3,2,2,1,0,1,2,2,1,2,3,1, IV17,-4.239120326,57.68856066
29,Dalwhinnie,2,2,2,0,0,2,1,0,1,2,2,2, PH19,-4.242292788,56.93856326
30,Deanston,2,2,1,0,0,2,1,1,1,3,2,1, FK16,-4.071063716,56.18937637
31,Dufftown,2,3,1,1,0,0,0,0,1,2,2,2, AB55,-3.128374395,57.438068
32,Edradour,2,3,1,0,0,2,1,1,4,2,2,2, PH16,-3.700735988,56.70154251
33,GlenDeveronMacduff,2,3,1,1,1,1,1,2,0,2,0,1,AB45,-2.468546969,57.63267931
34,GlenElgin,2,3,1,0,0,2,1,1,1,1,2,3, IV30,-3.297192577,57.63264135
35,GlenGarioch,2,1,3,0,0,0,3,1,0,2,2,2, AB51,-2.316943285,57.33843197
36,GlenGrant,1,2,0,0,0,1,0,1,2,1,2,1, AB38,-3.210556717,57.53046289
37,GlenKeith,2,3,1,0,0,1,2,1,2,1,2,1, AB55,-2.990864905,57.52387193
38,GlenMoray,1,2,1,0,0,1,2,1,2,2,2,4, IV30,-3.344828943,57.64364228
39,GlenOrd,3,2,1,0,0,1,2,1,1,2,2,2, IV6,-4.476185052,57.52356368
40,GlenScotia,2,2,2,2,0,1,0,1,2,2,1,1, PA28,-5.603737295,55.42980987
41,GlenSpey,1,3,1,0,0,0,1,1,1,2,0,2, AB38,-3.207924642,57.52662529
