"noShows","total_Time","weekday","weekend","Afternoon","Day","Evening","Night","Children","Comedy","Drama","Entertainment","Factual","Learning","Music","News","NoGenre","RelEthics","Sport","Weather","per_al_Watched","watched_in_Feb"
2,16.6792,1,0,0,0,1,0,0,0,0,0,0,0,0,100,0,0,0,0,50,"No"
2,0.310333333333333,1,0,0,1,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,"Yes"
2,1.8663,1,0,0,1,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,"No"
1,1.06361666666667,0,1,0,0,1,0,0,0,0,100,0,0,0,0,0,0,0,0,0,"Yes"
31,534.355566666667,0.870967741935484,0.129032258064516,0,0.0967741935483871,0.806451612903226,0.0967741935483871,0,6.45161290322581,32.258064516129,6.45161290322581,41.9354838709677,0,6.45161290322581,3.2258064516129,0,0,3.2258064516129,0,22.5806451612903,"No"
1,1.31336666666667,1,0,0,0,1,0,0,0,0,100,0,0,0,0,0,0,0,0,100,"No"
1,0.966666666666667,1,0,0,1,0,0,0,0,100,0,0,0,0,0,0,0,0,0,100,"No"
1,2.801,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,100,0,0,"No"
2,59.1233166666667,0,1,0,0,1,0,0,0,100,0,0,0,0,0,0,0,0,0,50,"Yes"
3,4.1238,0.666666666666667,0.333333333333333,0,0,1,0,0,0,33.3333333333333,0,0,0,0,33.3333333333333,0,0,0,33.3333333333333,0,"Yes"
20,446.0549,0.75,0.25,0.15,0.45,0.4,0,0,0,0,10,30,0,0,50,0,0,5,5,35,"Yes"
1,14.3842833333333,0,1,0,0,1,0,0,0,100,0,0,0,0,0,0,0,0,0,0,"No"
1,1.07096666666667,1,0,0,1,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,"No"
2,1.98331666666667,1,0,1,0,0,0,0,0,50,0,0,0,0,0,0,0,50,0,0,"No"
1,1.47011666666667,0,1,0,0,1,0,0,0,0,100,0,0,0,0,0,0,0,0,0,"No"
1,21.00295,1,0,0,0,1,0,0,0,0,0,0,0,0,100,0,0,0,0,0,"No"
1,0.217133333333333,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,"Yes"
8,38.0044166666667,1,0,0,0,0.75,0.25,0,25,0,0,25,0,0,37.5,0,0,12.5,0,0,"No"
2,8.68683333333333,0.5,0.5,0,0,1,0,0,0,0,0,50,0,0,50,0,0,0,0,0,"Yes"
1,75.7652833333333,1,0,0,1,0,0,0,0,100,0,0,0,0,0,0,0,0,0,100,"No"
1,0.2422,0,1,1,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,"Yes"
1,13.9666666666667,1,0,0,0,0,1,0,0,0,0,0,0,0,100,0,0,0,0,100,"No"
16,148.464366666667,0.8125,0.1875,0,0,1,0,0,0,6.25,37.5,50,0,0,0,0,6.25,0,0,0,"Yes"
2,61.9929666666667,1,0,0,0,0,1,0,0,0,100,0,0,0,0,0,0,0,0,100,"No"
16,167.238116666667,0.25,0.75,0.375,0.125,0.5,0,0,0,81.25,0,18.75,0,0,0,0,0,0,0,12.5,"No"
1,28.9632166666667,1,0,0,0,0,1,0,0,0,0,100,0,0,0,0,0,0,0,100,"No"
2,2.96666666666667,1,0,0,0,1,0,0,0,0,100,0,0,0,0,0,0,0,0,100,"No"
4,283.565516666667,1,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,100,0,0,"Yes"
5,44.8183,1,0,0,0,0.2,0.8,0,0,0,0,100,0,0,0,0,0,0,0,20,"Yes"
1,1.6465,0,1,0,1,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,"No"
6,44.7839166666667,0.833333333333333,0.166666666666667,0.5,0.5,0,0,0,33.3333333333333,66.6666666666667,0,0,0,0,0,0,0,0,0,0,"No"
7,12.61885,0.714285714285714,0.285714285714286,0.142857142857143,0.428571428571429,0.428571428571429,0,0,57.1428571428571,14.2857142857143,0,14.2857142857143,0,0,14.2857142857143,0,0,0,0,71.4285714285714,"Yes"
1,0.4555,0,1,0,1,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,"No"
2,91.8707333333333,1,0,0.5,0.5,0,0,0,50,50,0,0,0,0,0,0,0,0,0,100,"Yes"
4,61.8737333333333,0,1,0,0,0,1,0,0,75,0,25,0,0,0,0,0,0,0,25,"No"
